998,2200465185,4
999,249401770,4
1000,66713401,3
1000,34607291,4
1000,359086841,5
1001,249401770,5
1002,66713401,3
1002,249401770,5
1002,359086841,5
1003,2200465185,1
1004,249401770,5
1005,2200465185,3
1006,4357845893,4
1006,359086841,5
1006,34607291,5
1007,359086841,5
1008,249401770,5
1009,1375716062,4
1010,4357845893,4
1011,249401770,3
1011,359086841,5
1012,359086841,5
1012,249401770,4
1013,66713401,5
1013,359086841,4
1014,1375716062,5
1015,4357845893,3
1016,359086841,5
1016,249401770,5
1017,66713401,5
1017,51260215,4
1017,34607291,1
1018,377216661,5
1018,44026969,4
1019,180344732,5
1019,66713401,2
1020,422943231,5
1020,248666372,4
1021,2489047099,4
1021,4171922456,5
1022,3074791956,5
1022,4726582895,5
1023,2056514586,2
1024,2200465185,5
1024,4171922456,2
1024,3074791956,4
1024,4726582895,2
1024,2056514586,4
1025,249401770,5
1025,4357845893,5
1025,166565579,5
1025,51260215,2
1025,377216661,4
1025,43995751,2
1025,1643199193,2
1025,44026969,4
1026,180344732,2
1026,28183842,2
1026,8956042,5
1026,66713401,3
1026,2200465185,1
1026,2489047099,1
1026,4171922456,3
1026,3074791956,5
1026,4726582895,4
